Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,재료이름,개수,재료위치
0,0,0,딸기 베이스(시럽),0,냉장
1,1,1,딸기 복숭아 베이스,0,냉장
2,2,2,망고 베이스,0,냉장
3,3,3,청포도 베이스,0,냉장
4,4,4,달고나 베이스,0,냉장
5,5,5,카라멜 소스,0,냉장
6,6,6,초코 소스,0,냉장
7,7,7,초코렛 칩,0,냉장
8,8,8,토피넛 베이스,0,냉장
9,9,9,복분자 베이스,0,냉장
10,10,10,블루베리 시럽,0,냉장
11,11,11,홍차 베이스,0,냉장
12,12,12,자몽 베이스,0,냉장
13,13,13,꿀복숭아 베이스,0,냉장
14,14,14,화이트 초콜릿,0,냉장
15,15,15,메이플 시럽,0,냉장
16,16,16,휘핑,0,냉장
17,17,17,콜드브루,0,냉장
18,18,18,콜드브루 디카페인,0,냉장
19,19,19,츄러스 초코소스,0,냉장
20,20,20,연유,0,냉장
21,21,21,크림치즈,0,냉장
22,22,22,그릴드 치킨 샐러드,0,냉장
23,23,23,두부텐더 샐러드,0,냉장
24,24,24,1인 망고패션 베이스,0,냉장
25,25,25,1인 딸기피치 베이스,0,냉장
26,26,26,1인 꿀베이스,0,냉장
27,27,27,라운드볼,0,냉동
28,28,28,밀크 크레이프 케이크,0,냉동
29,29,29,티라미슈 케이크,0,냉동
30,30,30,수플레 치즈 케이크,0,냉동
31,31,31,허니브레드,0,냉동
32,32,32,프레즐,0,냉동
33,33,33,꿀호떡,0,냉동
34,34,34,크루아상,0,냉동
35,35,35,뱅쇼키트,0,냉동
36,36,36,오리지널 번,0,냉동
37,37,37,크로크무슈,0,냉동
38,38,38,꽈루아상,0,냉동
39,39,39,크로플,0,냉동
40,40,40,쉐이크,0,냉동
41,41,41,쉐이크 딸기다이스,0,냉동
42,42,42,딸기 쥬스,0,냉동
43,43,43,키위 주스,0,냉동
44,44,44,스노우쿠키슈,0,냉동
45,45,45,펄,0,냉동
46,46,46,와플,0,냉동
47,47,47,초코 머핀,0,냉동
48,48,48,크림치즈 머핀,0,냉동
49,49,49,소고기 브리또,0,냉동
50,50,50,핫치킨 브리또,0,냉동
51,51,51,어니언 베이글,0,냉동
52,52,52,블루베리 베이글,0,냉동
53,53,53,플레인 베이글,0,냉동
54,54,54,끼리케익(플레인),0,냉동
55,55,55,끼리케익(블루베리),0,냉동
56,56,56,베이컨 포테이토 피자,0,냉동
57,57,57,하와이안 스퀘어 피자,0,냉동
58,58,58,불닭고구마 스퀘어 피자,0,냉동
59,59,59,매콤 로제 주먹밥,0,냉동
60,60,60,까르보나라 주먹밥,0,냉동
61,61,61,츄러스 초코소스,0,냉동
62,62,62,생강 과육,0,냉동
63,63,63,석류 과육,0,냉동
64,64,64,청귤 과육,0,냉동
65,65,65,레몬 과육,0,냉동
66,66,66,자몽 과육,0,냉동
67,67,67,유자 과육,0,냉동
68,68,68,1인 요거트 빙수,0,냉동
69,69,69,1인 팥빙수,0,냉동
70,70,70,빙수 밀크,0,냉동
71,71,71,빙수 망고,0,냉동
72,72,72,빙수 딸기,0,냉동
73,73,73,인절미,0,냉동
74,74,74,망고 다이스,0,냉동
75,75,75,팥(빙수용),0,냉동
76,76,76,연유(빙수용),0,냉동
77,77,77,퓨어 패퍼민트,0,상온
78,78,78,프레시 그린티,0,상온
79,79,79,그린 루이보스,0,상온
80,80,80,샤인 히비스커스,0,상온
81,81,81,스프링 캐모마일,0,상온
82,82,82,피치 얼그레이,0,상온
83,83,83,잉글리쉬 블랙퍼스트,0,상온
84,84,84,고구마,0,상온
85,85,85,흑당 베이스,0,상온
86,86,86,바닐라 파우더,0,상온
87,87,87,녹차 파우더,0,상온
88,88,88,민트초코 파우더,0,상온
89,89,89,자바칩 파우더,0,상온
90,90,90,플랫치노 파우더,0,상온
91,91,91,요거트 파우더,0,상온
92,92,92,이곡 파우더,0,상온
93,93,93,토피넛 파우더,0,상온
94,94,94,모카 파우더,0,상온
95,95,95,너트 파우더,0,상온
96,96,96,커피믹스 파우더,0,상온
97,97,97,스페셜 골드 블렌드,0,상온
98,98,98,쿠키 분태,0,상온
99,99,99,아몬드,0,상온
100,100,100,마카다미아 시럽,0,상온
101,101,101,카라멜 시럽,0,상온
102,102,102,바닐라 시럽,0,상온
103,103,103,헤이즐넛 시럽,0,상온
104,104,104,카페 시럽,0,상온
105,105,105,시나몬 파우더,0,상온
106,106,106,쌍화차 파우더,0,상온
107,107,107,복숭아 아이스티,0,상온
108,108,108,레몬 아이스티,0,상온
109,109,109,화이트초코 마카다미아 쿠키,0,상온
110,110,110,초콜렛 청크 쿠키,0,상온
111,111,111,원두,0,상온
